cam_model,count,ev,arm_lat_ms
ILCE-7RM4A,3,2.0ev,5234
ILCE-7SM3,5,2.0ev,297
ILCE-7M4,5,2.0ev,500
ILCE-7C,5,2.0ev,3078
ILCE-7RM4A,5,2.0ev,3781
ILCE-7SM3,3,3.0ev,437
ILCE-7M4,3,3.0ev,406
ILCE-7C,3,3.0ev,3375
ILCE-7RM4A,3,3.0ev,4016
ILCE-7SM3,5,3.0ev,313
ILCE-7M4,5,3.0ev,468
ILCE-7C,5,3.0ev,3015
ILCE-7RM4A,5,3.0ev,3797
ILCE-7SM3,3,0.3ev,344
ILCE-7M4,3,0.3ev,453
ILCE-7C,3,0.3ev,2781
ILCE-7RM4A,3,0.3ev,3594
ILCE-7SM3,5,0.3ev,312
ILCE-7M4,5,0.3ev,422
ILCE-7C,5,0.3ev,2968
ILCE-7RM4A,5,0.3ev,3343
ILCE-7SM3,9,0.3ev,328
ILCE-7M4,9,0.3ev,422
ILCE-7C,9,0.3ev,3422
ILCE-7RM4A,9,0.3ev,4141
ILCE-7SM3,3,0.5ev,375
ILCE-7M4,3,0.5ev,485
ILCE-7C,3,0.5ev,4406
ILCE-7RM4A,3,0.5ev,5359
ILCE-7SM3,5,0.5ev,328
ILCE-7M4,5,0.5ev,468
ILCE-7C,5,0.5ev,2891
ILCE-7RM4A,5,0.5ev,3765
ILCE-7SM3,9,0.5ev,297
ILCE-7M4,9,0.5ev,391
ILCE-7C,9,0.5ev,3500
ILCE-7RM4A,9,0.5ev,4156
ILCE-7SM3,3,0.7ev,296
ILCE-7M4,3,0.7ev,406
ILCE-7C,3,0.7ev,4328
ILCE-7RM4A,3,0.7ev,5407
ILCE-7SM3,5,0.7ev,328
ILCE-7M4,5,0.7ev,485
ILCE-7C,5,0.7ev,2953
ILCE-7RM4A,5,0.7ev,3766
ILCE-7SM3,9,0.7ev,343
ILCE-7M4,9,0.7ev,484
ILCE-7C,9,0.7ev,3531
ILCE-7RM4A,9,0.7ev,4125
ILCE-7SM3,3,1.0ev,297
ILCE-7M4,3,1.0ev,469
ILCE-7C,3,1.0ev,4422
ILCE-7RM4A,3,1.0ev,5328
ILCE-7SM3,5,1.0ev,328
ILCE-7M4,5,1.0ev,453
ILCE-7C,5,1.0ev,2969
ILCE-7RM4A,5,1.0ev,3797
ILCE-7SM3,9,1.0ev,297
ILCE-7M4,9,1.0ev,437
ILCE-7C,9,1.0ev,3422
ILCE-7RM4A,9,1.0ev,4219
ILCE-7SM3,3,2.0ev,265
ILCE-7M4,3,2.0ev,422
ILCE-7C,3,2.0ev,4109
ILCE-7RM4A,3,2.0ev,5203
ILCE-7SM3,5,2.0ev,328
ILCE-7M4,5,2.0ev,469
ILCE-7C,5,2.0ev,2985
ILCE-7RM4A,5,2.0ev,3297
ILCE-7SM3,3,3.0ev,312
ILCE-7M4,3,3.0ev,437
ILCE-7C,3,3.0ev,3266
ILCE-7RM4A,3,3.0ev,3968
ILCE-7SM3,5,3.0ev,297
ILCE-7M4,5,3.0ev,485
ILCE-7C,5,3.0ev,2969
ILCE-7RM4A,5,3.0ev,3766
